Commodity,Geolocation,Year,CPI
Fruit (ND),Region VI (Western Visayas),2015,125.7
Fruit (ND),Aklan,2015,132.0
Fruit (ND),Antique,2015,147.7
Fruit (ND),Capiz,2015,124.2
Fruit (ND),Iloilo,2015,127.4
Fruit (ND),Negros Occidental,2015,117.6
Fruit (ND),Guimaras,2015,138.4
Fruit (ND),Region VII (Central Visayas),2015,131.7
Fruit (ND),Bohol,2015,123.3
Fruit (ND),Cebu,2015,145.8
Fruit (ND),Negros Oriental,2015,105.0
Fruit (ND),Siquijor,2015,107.1
Fruit (ND),Region VIII (Eastern Visayas),2015,125.7
Fruit (ND),Eastern Samar,2015,128.1
Fruit (ND),Leyte,2015,127.5
Fruit (ND),Northern Samar,2015,129.3
Fruit (ND),Western Samar,2015,104.2
Fruit (ND),Southern Leyte,2015,146.1
Fruit (ND),Biliran,2015,123.7
Fruit (ND),Region IX (Zamboanga Peninsula),2015,113.2
Fruit (ND),Zamboanga Del Norte,2015,99.1
Fruit (ND),Zamboanga Del Sur,2015,123.2
Fruit (ND),Zamboanga Sibugay,2015,101.7
Fruit (ND),City of Isabela,2015,136.8
Fruit (ND),Region X (Northern Mindanao),2015,104.4
Fruit (ND),Bukidnon,2015,114.7
Fruit (ND),Camiguin,2015,112.3
Fruit (ND),Lanao Del Norte,2015,96.7
Fruit (ND),Misamis Occidental,2015,108.2
Fruit (ND),Misamis Oriental,2015,98.2
Fruit (ND),Region XI (Davao Region),2015,110.4
Fruit (ND),Davao Del Norte,2015,100.4
Fruit (ND),Davao Del Sur,2015,117.8
Fruit (ND),Davao Oriental,2015,108.4
Fruit (ND),Compostela Valley,2015,99.1
Fruit (ND),Region XII (SOCCSKSARGEN),2015,107.9
Fruit (ND),North Cotabato,2015,110.1
Fruit (ND),South Cotabato,2015,106.0
Fruit (ND),Sultan Kudarat,2015,114.7
Fruit (ND),Saranggani,2015,111.5
Fruit (ND),City of Cotabato,2015,95.6
Fruit (ND),Region XIII (Caraga),2015,118.2
Fruit (ND),Agusan Del Norte,2015,106.0
Fruit (ND),Agusan Del Sur,2015,123.1
Fruit (ND),Surigao Del Norte,2015,129.6
Fruit (ND),Surigao Del Sur,2015,118.6
Fruit (ND),Dinagat Island,2015,114.2
Fruit (ND),Autonomous Region in Muslim Mindanao (ARMM),2015,128.3
Fruit (ND),Basilan,2015,128.1
Fruit (ND),Lanao Del Sur,2015,132.9
Fruit (ND),Maguindanao,2015,130.7
Fruit (ND),Sulu,2015,123.2
Fruit (ND),Tawi-Tawi,2015,121.2
Vegetables (ND),National Capital Region (NCR),2015,113.5
Vegetables (ND),Cordillera Administrative Region (CAR),2015,107.4
Vegetables (ND),Abra,2015,118.6
Vegetables (ND),Benguet,2015,104.3
Vegetables (ND),Ifugao,2015,115.0
Vegetables (ND),Kalinga,2015,104.2
Vegetables (ND),Mt Province,2015,123.9
Vegetables (ND),Apayao,2015,79.1
Vegetables (ND),Region I (Ilocos Region),2015,111.3
Vegetables (ND),Ilocos Norte,2015,129.5
Vegetables (ND),Ilocos Sur,2015,115.8
Vegetables (ND),La Union,2015,109.3
Vegetables (ND),Pangasinan,2015,107.6
Vegetables (ND),Region II (Cagayan Valley),2015,107.4
Vegetables (ND),Batanes,2015,107.8
Vegetables (ND),Cagayan,2015,110.2
Vegetables (ND),Isabela,2015,98.6
Vegetables (ND),Nueva Vizcaya,2015,125.6
Vegetables (ND),Quirino,2015,122.1
Vegetables (ND),Region III (Central Luzon),2015,112.8
Vegetables (ND),Bataan,2015,108.9
Vegetables (ND),Bulacan,2015,112.9
Vegetables (ND),Nueva Ecija,2015,101.3
Vegetables (ND),Pampanga,2015,117.5
Vegetables (ND),Tarlac,2015,124.8
Vegetables (ND),Zambales,2015,106.1
Vegetables (ND),Aurora,2015,121.3
Vegetables (ND),Region IV-A (CALABARZON),2015,110.4
Vegetables (ND),Batangas,2015,103.5
Vegetables (ND),Cavite,2015,120.5
Vegetables (ND),Laguna,2015,104.5
Vegetables (ND),Quezon,2015,105.0
Vegetables (ND),Rizal,2015,113.7
Vegetables (ND),Region IV-B (MIMAROPA),2015,120.9
Vegetables (ND),Marinduque,2015,122.4
Vegetables (ND),Mindoro Occidental,2015,108.2
Vegetables (ND),Mindoro Oriental,2015,120.3
Vegetables (ND),Palawan,2015,126.7
Vegetables (ND),Romblon,2015,117.3
Vegetables (ND),Region V (Bicol Region),2015,119.5
Vegetables (ND),Albay,2015,117.1
Vegetables (ND),Camarines Norte,2015,130.5
Vegetables (ND),Camarines Sur,2015,123.2
Vegetables (ND),Catanduanes,2015,110.1
Vegetables (ND),Masbate,2015,110.4
Vegetables (ND),Sorsogon,2015,113.7
Vegetables (ND),Region VI (Western Visayas),2015,111.3
Vegetables (ND),Aklan,2015,111.6
Vegetables (ND),Antique,2015,113.4
Vegetables (ND),Capiz,2015,110.1
Vegetables (ND),Iloilo,2015,115.8
Vegetables (ND),Negros Occidental,2015,107.0
Vegetables (ND),Guimaras,2015,117.3
Vegetables (ND),Region VII (Central Visayas),2015,114.2
Vegetables (ND),Bohol,2015,134.7
Vegetables (ND),Cebu,2015,107.8
Vegetables (ND),Negros Oriental,2015,118.6
Vegetables (ND),Siquijor,2015,108.2
Vegetables (ND),Region VIII (Eastern Visayas),2015,113.0
Vegetables (ND),Eastern Samar,2015,123.1
Vegetables (ND),Leyte,2015,101.4
Vegetables (ND),Northern Samar,2015,125.5
Vegetables (ND),Western Samar,2015,133.8
Vegetables (ND),Southern Leyte,2015,136.5
Vegetables (ND),Biliran,2015,111.7
Vegetables (ND),Region IX (Zamboanga Peninsula),2015,115.4
Vegetables (ND),Zamboanga Del Norte,2015,119.4
Vegetables (ND),Zamboanga Del Sur,2015,114.8
Vegetables (ND),Zamboanga Sibugay,2015,109.7
Vegetables (ND),City of Isabela,2015,119.0
Vegetables (ND),Region X (Northern Mindanao),2015,120.8
Vegetables (ND),Bukidnon,2015,120.6
Vegetables (ND),Camiguin,2015,109.7
Vegetables (ND),Lanao Del Norte,2015,112.6
Vegetables (ND),Misamis Occidental,2015,142.1
Vegetables (ND),Misamis Oriental,2015,120.2
Vegetables (ND),Region XI (Davao Region),2015,117.2
Vegetables (ND),Davao Del Norte,2015,118.3
Vegetables (ND),Davao Del Sur,2015,118.2
Vegetables (ND),Davao Oriental,2015,122.6
Vegetables (ND),Compostela Valley,2015,103.6
Vegetables (ND),Region XII (SOCCSKSARGEN),2015,116.4
Vegetables (ND),North Cotabato,2015,120.7
Vegetables (ND),South Cotabato,2015,111.9
Vegetables (ND),Sultan Kudarat,2015,120.1
Vegetables (ND),Saranggani,2015,128.8
Vegetables (ND),City of Cotabato,2015,107.0
Vegetables (ND),Region XIII (Caraga),2015,112.9
Vegetables (ND),Agusan Del Norte,2015,104.8
Vegetables (ND),Agusan Del Sur,2015,113.8
Vegetables (ND),Surigao Del Norte,2015,120.1
Vegetables (ND),Surigao Del Sur,2015,119.9
Vegetables (ND),Dinagat Island,2015,107.9
Vegetables (ND),Autonomous Region in Muslim Mindanao (ARMM),2015,117.6
Vegetables (ND),Basilan,2015,120.0
Vegetables (ND),Lanao Del Sur,2015,118.3
Vegetables (ND),Maguindanao,2015,125.1
Vegetables (ND),Sulu,2015,107.3
Vegetables (ND),Tawi-Tawi,2015,113.2
Meat (ND),National Capital Region (NCR),2015,108.3
Meat (ND),Cordillera Administrative Region (CAR),2015,106.5
Meat (ND),Abra,2015,103.8
Meat (ND),Benguet,2015,106.2
Meat (ND),Ifugao,2015,111.0
Meat (ND),Kalinga,2015,107.0
Meat (ND),Mt Province,2015,105.9
Meat (ND),Apayao,2015,109.4
Meat (ND),Region I (Ilocos Region),2015,107.0
Meat (ND),Ilocos Norte,2015,104.8
Meat (ND),Ilocos Sur,2015,106.8
Meat (ND),La Union,2015,105.6
Meat (ND),Pangasinan,2015,107.8
Meat (ND),Region II (Cagayan Valley),2015,107.9
Meat (ND),Batanes,2015,108.7
Meat (ND),Cagayan,2015,107.1
Meat (ND),Isabela,2015,107.4
Meat (ND),Nueva Vizcaya,2015,109.8
Meat (ND),Quirino,2015,110.6
Meat (ND),Region III (Central Luzon),2015,107.7
Meat (ND),Bataan,2015,107.2
Meat (ND),Bulacan,2015,107.4
Meat (ND),Nueva Ecija,2015,106.6
Meat (ND),Pampanga,2015,110.4
Meat (ND),Tarlac,2015,107.5
